contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108P19490000,2024-11-05 19:47:13+00:00,19490.0,46.2,0.0,20.0,0.0,0.0,1.0,8.0,0.8138751522827149,0.0,REGULAR,USD,2024-11-08
NDXP241108P19500000,2024-11-07 16:41:47+00:00,19500.0,0.66,0.0,20.0,0.0,0.0,12.0,55.0,0.8095111822509764,0.0,REGULAR,USD,2024-11-08
NDXP241108P19520000,2024-11-05 14:49:10+00:00,19520.0,70.23,0.0,20.0,0.0,0.0,1.0,10.0,0.8007832421875,0.0,REGULAR,USD,2024-11-08
NDXP241108P19525000,2024-11-06 14:50:51+00:00,19525.0,5.4,0.0,20.0,0.0,0.0,2.0,7.0,0.7986165158081054,0.0,REGULAR,USD,2024-11-08
NDXP241108P19530000,2024-11-04 14:42:58+00:00,19530.0,148.6,0.0,20.0,0.0,0.0,2.0,4.0,0.7964497894287108,0.0,REGULAR,USD,2024-11-08
NDXP241108P19540000,2024-11-07 19:17:22+00:00,19540.0,0.55,0.0,20.0,0.0,0.0,2.0,7.0,0.7920858193969728,0.0,REGULAR,USD,2024-11-08
NDXP241108P19550000,2024-11-07 16:42:41+00:00,19550.0,0.66,0.0,20.0,0.0,0.0,5.0,487.0,0.7877218493652343,0.0,REGULAR,USD,2024-11-08
NDXP241108P19560000,2024-11-06 14:37:56+00:00,19560.0,3.5,0.0,20.0,0.0,0.0,1.0,4.0,0.7833578793334962,0.0,REGULAR,USD,2024-11-08
NDXP241108P19570000,2024-11-06 19:02:33+00:00,19570.0,1.0,0.0,20.0,0.0,0.0,2.0,8.0,0.7789939093017577,0.0,REGULAR,USD,2024-11-08
NDXP241108P19575000,2024-11-07 14:38:09+00:00,19575.0,0.55,0.0,20.0,0.0,0.0,4.0,7.0,0.7767966656494141,0.0,REGULAR,USD,2024-11-08
NDXP241108P19590000,2024-11-06 16:00:19+00:00,19590.0,2.89,0.0,20.0,0.0,0.0,1.0,6.0,0.7702659692382813,0.0,REGULAR,USD,2024-11-08
NDXP241108P19600000,2024-11-06 20:43:37+00:00,19600.0,1.12,0.0,20.0,0.0,0.0,59.0,68.0,0.7659019992065431,0.0,REGULAR,USD,2024-11-08
NDXP241108P19620000,2024-11-06 14:37:24+00:00,19620.0,4.15,0.0,20.0,0.0,0.0,1.0,2.0,0.7571588005065919,0.0,REGULAR,USD,2024-11-08
NDXP241108P19625000,2024-11-06 19:53:17+00:00,19625.0,1.26,0.0,20.0,0.0,0.0,5.0,8.0,0.7549768154907227,0.0,REGULAR,USD,2024-11-08
NDXP241108P19640000,2024-11-06 14:33:53+00:00,19640.0,5.65,0.0,20.0,0.0,0.0,1.0,3.0,0.7484156018066408,0.0,REGULAR,USD,2024-11-08
NDXP241108P19650000,2024-11-07 17:34:53+00:00,19650.0,0.7,0.0,20.0,0.0,0.0,4.0,67.0,0.7440516317749023,0.0,REGULAR,USD,2024-11-08
