contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM250620P00135000,2024-11-05 19:20:07+00:00,135.0,19.1,15.9,16.7,0.0,0.0,1.0,225.0,0.19715158325195312,True,REGULAR,USD,2025-06-20
XOM250620P00140000,2024-11-01 19:59:01+00:00,140.0,25.9,19.8,20.75,0.0,0.0,1.0,31.0,0.196297099609375,True,REGULAR,USD,2025-06-20
XOM250620P00145000,2024-09-10 13:43:37+00:00,145.0,31.6,23.0,23.35,0.0,0.0,1.0,16.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-20
XOM250620P00150000,2024-04-12 13:42:24+00:00,150.0,28.15,30.6,35.45,0.0,0.0,34.0,30.0,0.41107766662597656,True,REGULAR,USD,2025-06-20
XOM250620P00155000,2023-05-10 14:27:05+00:00,155.0,48.35,45.8,49.7,0.0,0.0,,1.0,0.6475254974365234,True,REGULAR,USD,2025-06-20
XOM250620P00160000,2023-05-11 19:50:38+00:00,160.0,55.58,51.25,54.75,0.0,0.0,4.0,0.0,0.6845124322509766,True,REGULAR,USD,2025-06-20
XOM250620P00165000,2024-05-22 17:41:43+00:00,165.0,49.1,51.5,56.5,0.0,0.0,3.0,0.0,0.6010782080078126,True,REGULAR,USD,2025-06-20
XOM250620P00170000,2024-10-18 19:39:51+00:00,170.0,50.2,48.95,51.15,0.0,0.0,3.0,3.0,0.36035795898437495,True,REGULAR,USD,2025-06-20
XOM250620P00175000,2024-05-30 14:00:36+00:00,175.0,59.5,57.5,62.5,0.0,0.0,2.0,0.0,0.5280808911132813,True,REGULAR,USD,2025-06-20
XOM250620P00180000,2024-05-15 19:50:14+00:00,180.0,62.02,68.5,73.5,0.0,0.0,,0.0,0.7337062762451172,True,REGULAR,USD,2025-06-20
XOM250620P00185000,2024-10-16 14:08:26+00:00,185.0,64.0,63.15,66.05,0.0,0.0,,1.0,0.41358008300781246,True,REGULAR,USD,2025-06-20
PXD250620P00220000,2024-04-24 13:46:36+00:00,220.0,7.5,0.0,0.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-20
PXD250620P00250000,2024-04-17 16:24:08+00:00,250.0,18.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-20
PXD250620P00260000,2024-05-01 18:42:39+00:00,260.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-20
PXD250620P00280000,2024-05-01 16:41:50+00:00,280.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-20
XOM250815P00075000,2024-09-17 19:35:48+00:00,75.0,0.71,0.15,1.66,0.0,0.0,1.0,101.0,0.42578699218750005,False,REGULAR,USD,2025-08-15
XOM250815P00080000,2024-11-08 16:16:14+00:00,80.0,0.56,0.27,1.03,-0.88000005,-61.111115,1.0,113.0,0.33521172607421873,False,REGULAR,USD,2025-08-15
XOM250815P00085000,2024-11-01 13:34:52+00:00,85.0,0.95,0.72,1.5,0.0,0.0,1.0,26.0,0.3263006823730469,False,REGULAR,USD,2025-08-15
XOM250815P00090000,2024-11-07 20:04:22+00:00,90.0,1.12,1.05,1.19,0.0,0.0,5.0,64.0,0.2672192419433594,False,REGULAR,USD,2025-08-15
XOM250815P00095000,2024-10-21 14:38:03+00:00,95.0,1.87,1.52,1.72,0.0,0.0,8.0,105.0,0.25659923095703124,False,REGULAR,USD,2025-08-15
XOM250815P00100000,2024-11-08 15:06:20+00:00,100.0,2.44,2.23,2.43,0.09000015,3.829794,17.0,1248.0,0.24597921997070313,False,REGULAR,USD,2025-08-15
XOM250815P00105000,2024-11-08 15:38:49+00:00,105.0,3.45,3.2,4.35,-0.049999952,-1.42857,54.0,718.0,0.26636475830078127,False,REGULAR,USD,2025-08-15
XOM250815P00110000,2024-11-08 20:29:08+00:00,110.0,4.5,4.5,4.7,0.0,0.0,165.0,1175.0,0.22827920166015625,False,REGULAR,USD,2025-08-15
XOM250815P00115000,2024-11-08 20:04:23+00:00,115.0,6.14,6.15,6.65,0.03999996,0.6557371,251.0,1449.0,0.2277604080200195,False,REGULAR,USD,2025-08-15
XOM250815P00120000,2024-11-08 15:40:20+00:00,120.0,8.65,8.2,8.4,0.4499998,5.4878025,124.0,209.0,0.21234918518066404,False,REGULAR,USD,2025-08-15
XOM250815P00125000,2024-11-07 19:36:52+00:00,125.0,10.8,10.25,11.0,0.0,0.0,2.0,89.0,0.20752745605468748,True,REGULAR,USD,2025-08-15
XOM250815P00130000,2024-10-07 18:33:47+00:00,130.0,12.5,13.6,14.0,0.0,0.0,3.0,39.0,0.20197331237792968,True,REGULAR,USD,2025-08-15
