Indx,Call_ContractID,Call_Bid,Call_Ask,Call_Vol,Call_OI,Call_PrChg,Call_PrChgPct,Call_LastTrTime,Call_LastPr,Call_ImplVol,Call_ITM,Strike,Put_ITM,Put_ImplVol,Put_LastPr,Put_LastTrTime,Put_PrChgPct,Put_PrChg,Put_OI,Put_Vol,Put_Ask,Put_Bid,Put_ContractID
191,SPX230616C04070000,169.4,173.9,140,0,0,0,18/05/2023 15:24,153.14,0.207969957,TRUE,4070,FALSE,0.153336409,26.04,18/05/2023 15:51,0,0,0,169,24.8,24.5,SPX230616P04070000
192,SPXW230616C04075000,166.3,169.9,6,0,0,0,18/05/2023 15:00,146.08,0.206592865,TRUE,4075,FALSE,0.153496624,27.27,18/05/2023 16:09,0,0,0,310,26.1,25.8,SPXW230616P04075000
193,SPXW230616C04080000,161.8,165.4,23,0,0,0,18/05/2023 15:47,157.58,0.203941676,TRUE,4080,FALSE,0.15219964,26.21,18/05/2023 20:27,-6.924719,-1.9500008,0,1,26.9,26.6,SPXW230616P04080000
194,SPXW230616C04085000,157.8,161.3,3,0,0,0,18/05/2023 03:59,129.6,0.202209821,TRUE,4085,FALSE,0.150555522,31.6,18/05/2023 15:40,0,0,0,57,27.6,27.3,SPXW230616P04085000
195,SPXW230616C04090000,153.5,157,25,0,0,0,18/05/2023 15:19,139.21,0.199940099,TRUE,4090,FALSE,0.147541941,29.42,18/05/2023 15:55,0,0,0,2033,27.8,27.3,SPX230616P04090000
196,SPXW230616C04095000,149.6,153,8,0,0,0,18/05/2023 08:20,122.1,0.198334128,TRUE,4095,FALSE,0.147580088,30.6,18/05/2023 15:59,0,0,0,52,29.2,28.9,SPXW230616P04095000
197,SPXW230616C04100000,145.1,148.5,79,0,0,0,18/05/2023 15:44,139.52,0.195488392,TRUE,4100,FALSE,0.146229699,30.8,19/05/2023 03:14,-2.0667775,-0.6500015,0,2,30.1,29.7,SPXW230616P04100000
198,SPXW230616C04105000,141,144.4,70,0,0,0,18/05/2023 15:44,135.52,0.193527657,TRUE,4105,FALSE,0.143048273,31.59,18/05/2023 15:51,0,0,0,53,30.3,29.8,SPX230616P04105000
199,SPX230616C04110000,137.6,138.5,45,0,0,0,18/05/2023 15:49,131.45,0.187336465,TRUE,4110,FALSE,0.143033014,31.4,19/05/2023 04:31,-5.7057047,-1.8999996,0,15,31.8,31.5,SPXW230616P04110000
200,SPX230616C04115000,133.5,134.4,1,0,0,0,18/05/2023 13:42,107.7,0.185287993,TRUE,4115,FALSE,0.14167881,34.48,18/05/2023 16:02,0,0,0,72,32.8,32.4,SPXW230616P04115000
201,SPX230616C04120000,129.5,130.4,83,0,0,0,18/05/2023 15:37,115.29,0.183403552,TRUE,4120,FALSE,0.140233055,35.53,18/05/2023 16:02,0,0,0,224,33.8,33.4,SPXW230616P04120000
202,SPX230616C04125000,125.5,126.4,320,0,0,0,18/05/2023 15:43,116.8,0.181450446,TRUE,4125,FALSE,0.138463053,35.4,19/05/2023 03:39,-2.3448234,-0.8499985,0,11,34.7,34.4,SPXW230616P04125000
203,SPX230616C04130000,121.6,122.4,53,0,0,0,18/05/2023 16:00,117.2,0.179428677,TRUE,4130,FALSE,0.135434213,36.67,18/05/2023 15:59,0,0,0,83,35.1,34.6,SPX230616P04130000
204,SPXW230616C04135000,118.6,119,184,0,0,0,18/05/2023 16:10,114.4,0.178673374,TRUE,4135,FALSE,0.13373669,37.6,18/05/2023 16:03,0,0,0,392,36.1,35.6,SPX230616P04135000
205,SPXW230616C04140000,114.7,115.1,129,0,0,0,18/05/2023 15:57,110.61,0.176720269,TRUE,4140,FALSE,0.1319438,38.75,18/05/2023 16:01,0,0,0,477,37.1,36.7,SPX230616P04140000
206,SPX230616C04145000,109.7,110.5,72,0,0,0,18/05/2023 16:01,106.42,0.173149748,TRUE,4145,FALSE,0.130505674,39.9,18/05/2023 16:01,0,0,0,87,38.3,37.9,SPX230616P04145000
207,SPX230616C04150000,106,106.9,17677,0,0,0,18/05/2023 16:15,102.9,0.171707807,TRUE,4150,FALSE,0.128739487,41.1,18/05/2023 16:15,0,0,0,17606,39.4,39,SPX230616P04150000
208,SPXW230616C04155000,103.3,103.7,160,0,0,0,18/05/2023 15:32,90.25,0.171051686,TRUE,4155,FALSE,0.128861556,49.49,18/05/2023 11:50,0,0,0,39,41.4,41,SPXW230616P04155000
209,SPX230616C04160000,98.5,99.4,358,0,0,0,18/05/2023 16:06,95,0.167916036,TRUE,4160,FALSE,0.127087739,41.61,18/05/2023 20:27,-6.410253,-2.8499985,0,1,42.6,42.3,SPXW230616P04160000
210,SPXW230616C04165000,95.9,96.3,198,0,0,0,18/05/2023 16:04,92.4,0.167290432,TRUE,4165,FALSE,0.125420733,46.4,18/05/2023 15:54,0,0,0,89,43.9,43.6,SPXW230616P04165000
211,SPX230616C04170000,91.3,92.1,1331,0,0,0,18/05/2023 15:54,88.09,0.164200558,TRUE,4170,FALSE,0.122334674,52.6,18/05/2023 15:15,0,0,0,1703,44.6,44.1,SPX230616P04170000
